word,meaning,partOfSpeech,example,example_ja,leapPart,leapNumber,tags
divorce,①離婚する ②～と離婚する ③離婚,自動詞,①They decided to divorce after ten years. ②The divorce was painful for the children. ③She divorced her husband last year.,①彼らは10年後に離婚することを決めた。 ②離婚は子どもたちにとって辛かった。 ③彼女は昨年夫と離婚した。,Part2,898,
fate,運命，宿命,名詞,He accepted his fate with courage.,彼は勇敢に運命を受け入れた。,Part2,899,
destiny,運命,名詞,She believed it was her destiny to become a teacher.,彼女は教師になることが自分の運命だと信じていた。,Part2,900,
flavor,風味，味〈可算〉,名詞,This ice cream has a strong vanilla flavor.,このアイスクリームは強いバニラの風味がある。,Part2,901,
perfume,①香り ②香水,名詞,①She wore a sweet perfume. ②The perfume of the flowers filled the room.,①彼女は甘い香水をつけていた。 ②花の香りが部屋に満ちた。,Part2,902,
ingredient,①（料理などの）材料 ②（何かを達成するための）要因 ③成分,名詞,①List all the ingredients on the label. ②Trust is a key ingredient in any relationship.,①ラベルにすべての材料を記してください。 ②信頼はあらゆる関係の重要な要因だ。,Part2,903,
bitter,①苦い，つらい ②憤慨して,形容詞,①Black coffee tastes bitter. ②She felt bitter about losing the job.,①ブラックコーヒーは苦い味がする。 ②仕事を失ったことに彼女は憤慨していた。,Part2,904,
aisle,通路,名詞,Please keep the aisle clear.,通路を空けておいてください。,Part2,905,
track,①足跡，小道 ②（鉄道の）線路，プラットホーム ③～を追跡する,名詞,①We followed the bear's tracks. ②The train stopped on the wrong track. ③Police tracked the suspect.,①私たちは熊の足跡を追った。 ②電車が間違った線路で止まった。 ③警察は容疑者を追跡した。,Part2,906,
district,地区,名詞,She lives in a quiet residential district.,彼女は静かな住宅地区に住んでいる。,Part2,907,
facility,①施設，設備 ②能力，器用さ,名詞,①The school has great sports facilities. ②She has a facility for languages.,①学校は素晴らしいスポーツ施設を持っている。 ②彼女は言語の才能がある。,Part2,908,
height,①高さ ②高い所 ③最盛期,名詞,"①The height of the mountain is 3,776 m. ②She is afraid of heights. ③He was at the height of his career.","①その山の高さは3,776mだ。 ②彼女は高い所が怖い。 ③彼は仕事の最盛期だった。",Part2,909,
distant,遠い,形容詞,The town is distant from the city center.,その町は市の中心部から遠い。,Part2,910,
locate,①（be ―d）～に位置している，ある ②～の場所を見つける,他動詞,①The school is located near the park. ②She located the file on her computer.,①学校は公園の近くに位置している。 ②彼女はコンピューターのファイルの場所を見つけた。,Part2,911,
occupy,～を占める,他動詞,①Students occupy half the seats. ②Enemy forces occupied the city.,①生徒が座席の半分を占めている。 ②敵軍が都市を占領した。,Part2,912,
surround,～を取り囲む，包囲する,他動詞,Trees surround the old house.,古い家を木々が取り囲んでいる。,Part2,913,
classical,①（音楽，バレエ，ダンスなどで）クラシックの ②古典的な,形容詞,①She enjoys classical music. ②He studied classical literature.,①彼女はクラシック音楽を楽しんでいる。 ②彼は古典文学を学んだ。,Part2,914,
civilization,文明,名詞,Ancient Greek civilization had a big impact on the world.,古代ギリシャ文明は世界に大きな影響を与えた。,Part2,915,
heritage,遺産,名詞,This castle is part of our national heritage.,このお城は私たちの国の遺産の一部だ。,Part2,916,
script,①台本，脚本 ②（ある言語の）文字 ③（手書きの）文字,名詞,①The actor studied his script. ②Japanese uses three scripts. ③Her script was hard to read.,①俳優は台本を研究した。 ②日本語は3種類の文字を使う。 ③彼女の手書きの文字は読みにくかった。,Part2,917,
tale,話,名詞,Grandma told us a tale about a dragon.,おばあちゃんは竜についての話をしてくれた。,Part2,918,
literature,①文学 ②文献 （①②ともに〈不可算〉）,名詞,She studies English literature at university.,彼女は大学で英文学を学んでいる。,Part2,919,
tragedy,悲劇〈可算〉,名詞,The accident was a great tragedy.,その事故は大きな悲劇だった。,Part2,920,
poetry,詩〈不可算〉,名詞,She loves reading poetry.,彼女は詩を読むのが大好きだ。,Part2,921,
biography,伝記,名詞,I read a biography of Einstein.,アインシュタインの伝記を読んだ。,Part2,922,
term,①用語，言葉 ②（long［short］などを伴い）期間，学期，任期 ③（be on ～ ―s）（～の）間柄（である)④（―s）（契約などの）条件,名詞,①'Photosynthesis' is a scientific term. ②The president serves a four-year term. ③I'm on good terms with my neighbors. ④Please read the terms before signing.,①「光合成」は科学用語だ。 ②大統領は4年間の任期を務める。 ③私は隣人と良い間柄だ。 ④署名する前に条件を読んでください。,Part2,923,
proverb,諺,名詞,'A bird in the hand is worth two in the bush' is an English proverb.,「手の中の鳥は藪の中の2羽に値する」は英語の諺だ。,Part2,924,
dialect,方言,名詞,He speaks the local dialect fluently.,彼は地元の方言を流暢に話す。,Part2,925,
fluent,流暢な,形容詞,She is fluent in three languages.,彼女は3か国語を流暢に話す。,Part2,926,
translate,①～を翻訳する ②（into ～）（結果として）～に変わる,他動詞,①Can you translate this into Japanese? ②Hard work translates into success.,①これを日本語に翻訳できますか？ ②努力は結果として成功に変わる。,Part2,927,
define,①～を定義する ②～を規定する,他動詞,Please define the word 'culture'.,「文化」という言葉を定義してください。,Part2,928,
interpret,①～を解釈する ②～を通訳する ③通訳する,他動詞,①They interpreted his silence as agreement. ②She interpreted from French into English.,①彼らは彼の沈黙を賛成と解釈した。 ②彼女はフランス語から英語に通訳した。,Part2,929,
quote,①～を引用する ②～に価格を提示する ③引用文 ④提示価格，見積り,他動詞,"①She quoted a line from Shakespeare. ②The mechanic quoted 30,000 yen. ③The quote was memorable. ④Get three quotes before choosing.","①彼女はシェイクスピアから一節を引用した。 ②整備士は30,000円と価格を提示した。 ③その引用文は印象的だった。 ④選ぶ前に3つの見積もりを取ってください。",Part2,930,
literally,文字どおりに,副詞,I was literally shaking with excitement.,私は興奮で文字どおり震えていた。,Part2,931,
indicate,①（データなどが）～を示す ②～を指し示す,他動詞,①The red light indicates danger. ②Please indicate which option you prefer.,①赤信号は危険を示す。 ②どちらの選択肢が好みか指し示してください。,Part2,932,
reveal,～を明らかにする，暴露する,他動詞,The investigation revealed the truth.,調査が真実を明らかにした。,Part2,933,
announce,～を発表する,他動詞,The school announced new rules today.,学校は今日新しいルールを発表した。,Part2,934,
broadcast,①～を放送する ②（１回の）放送,他動詞,The game will be broadcast live on TV.,その試合はテレビで生放送される。,Part2,935,
prove,①～を証明する ②（to be ～）～だとわかる,他動詞,①She proved that the theory was correct. ②The medicine proved effective.,①彼女はその理論が正しいことを証明した。 ②その薬は効果的だとわかった。,Part2,936,
advertise,～を宣伝する,他動詞,They advertised the new product on TV.,彼らはテレビで新製品を宣伝した。,Part2,937,
clarify,～を明らかにする,他動詞,Could you clarify what you mean?,あなたの意味を明らかにしてもらえますか？,Part2,938,
seek,①～を求める ②（to do）～しようと努める,他動詞,①She sought medical advice. ②He seeks to improve his English daily.,①彼女は医師の助言を求めた。 ②彼は毎日英語を改善しようと努めている。,Part2,939,
entertain,①～を楽しませる ②～をもてなす,他動詞,①The comedian entertained the crowd. ②She entertained guests for dinner.,①コメディアンが群衆を楽しませた。 ②彼女は夕食に客をもてなした。,Part2,940,
amuse,～を楽しませる,他動詞,The clown amused the children.,道化師が子どもたちを楽しませた。,Part2,941,
attract,～を引きつける，魅了する,他動詞,The colorful poster attracted many visitors.,カラフルなポスターが多くの訪問者を引きつけた。,Part2,942,
fascinate,～を魅了する，～にとても興味をもたせる,他動詞,Ancient history fascinates her.,古代史が彼女をとても興味をもたせる。,Part2,943,
absorb,①（be ―ed in ～）～に没頭する ②～を吸収する,他動詞,①She is absorbed in her book. ②The sponge absorbs water.,①彼女は本に没頭している。 ②スポンジは水を吸収する。,Part2,944,
fond,①（be ― of～）（～が）好きだ ②懐かしい,他動詞,①She is fond of cooking. ②He has fond memories of school.,①彼女は料理が好きだ。 ②彼は学校の懐かしい思い出を持っている。,Part2,945,
scare,～をおびえさせる,他動詞,A sudden noise scared the cat.,突然の音が猫をおびえさせた。,Part2,946,
alarm,①～をぎょっとさせる ②恐怖，不安,他動詞,①She was alarmed by the strange sound. ②Her alarm grew as the deadline neared.,①彼女は奇妙な音にぎょっとした。 ②締め切りが近づくにつれて彼女の不安が大きくなった。,Part2,947,
amaze,～を驚かせる,他動詞,The magic trick amazed the audience.,手品が観客を驚かせた。,Part2,948,
irritate,（長期にわたって）～をいらいらさせる,他動詞,The noise of the construction irritated everyone.,建設の騒音がみんなをいらいらさせた。,Part2,949,
upset,①～を動揺させる ②（均衡など）を乱す ③動揺して，腹を立てて,他動詞,①She was upset when she heard the news. ②His sudden departure upset the balance.,①ニュースを聞いたとき彼女は動揺した。 ②彼の突然の出発が均衡を乱した。,Part2,950,
puzzle,①～を当惑させる ②難問，パズル,他動詞,①His strange behavior puzzled us. ②She loves doing puzzles.,①彼の奇妙な行動が私たちを当惑させた。 ②彼女はパズルをするのが大好きだ。,Part2,951,
confuse,①～を混乱させる，困惑させる ②（A with［and］ B)（A）を（Bと）混同する,他動詞,①The long instructions confused the students. ②Don't confuse 'effect' with 'affect'.,①長い指示が生徒たちを混乱させた。 ②'effect'と'affect'を混同しないでください。,Part2,952,
bore,～をうんざりさせる，退屈させる,他動詞,Long meetings bore him.,長い会議が彼をうんざりさせる。,Part2,953,
frustrate,①～を欲求不満にさせる ②（計画など）を挫折させる,他動詞,The slow internet frustrated her.,遅いインターネットが彼女を欲求不満にさせた。,Part2,954,
disappoint,～を失望させる,他動詞,I don't want to disappoint my parents.,両親を失望させたくない。,Part2,955,
embarrass,～に恥ずかしい思いをさせる，困惑させる,他動詞,He embarrassed her by singing in public.,彼は公共の場で歌って彼女に恥ずかしい思いをさせた。,Part2,956,
ashamed,恥ずかしい,形容詞,She was ashamed of her bad behavior.,彼女は自分の悪い行動を恥ずかしく思った。,Part2,957,
uneasy,不安な，胸騒ぎがする,形容詞,He felt uneasy about the exam results.,彼は試験の結果について不安に感じた。,Part2,958,
hesitate,ためらう,自動詞,Don't hesitate to ask if you have questions.,質問があれば遠慮なく聞いてください。,Part2,959,
reluctant,（to do）（～するのは）気が進まない,形容詞,He was reluctant to admit his mistake.,彼は自分の間違いを認めることに気が進まなかった。,Part2,960,
tremble,震える,自動詞,Her hands trembled as she opened the letter.,手紙を開けるとき彼女の手が震えた。,Part2,961,
boast,①自慢する ②（場所や組織が）～を誇りにしている,自動詞,①He boasted about his high score. ②This town boasts many historic sites.,①彼は高得点を自慢した。 ②この町は多くの史跡を誇りにしている。,Part2,962,
jealous,（of ～）（～に）嫉妬した,形容詞,She felt jealous of her friend's success.,彼女は友人の成功に嫉妬した。,Part2,963,
envy,①～を羨ましく思う ②羨望,他動詞,①I envy your talent for music. ②She looked at the cake with envy.,①あなたの音楽の才能が羨ましい。 ②彼女はケーキを羨望の目で見た。,Part2,964,
yell,①叫ぶ，大声をあげる ②叫び，わめき声,自動詞,①He yelled at the players from the sideline. ②She let out a yell of surprise.,①彼はサイドラインから選手たちに叫んだ。 ②彼女は驚きの叫び声を上げた。,Part2,965,
respect,①（人）を尊敬する ②（物）を尊重する ③（for ～）（～に対する）尊敬，尊重 ④（in ―）点,他動詞,"①We respect our teachers. ②Please respect the rules. ③She has everyone's respect. ④In that respect, you are right.",①私たちは先生を尊敬している。 ②ルールを尊重してください。 ③彼女はみんなの尊敬を持っている。 ④その点では、あなたは正しい。,Part2,966,
despair,絶望,名詞,He fell into despair after losing his job.,仕事を失った後、彼は絶望に陥った。,Part2,967,
emotion,（特に強い）感情〈可算〉,名詞,He tried to hide his emotions.,彼は感情を隠そうとした。,Part2,968,
sympathy,①同情 ②共感,名詞,①She felt sympathy for the victims. ②He has great sympathy for her ideas.,①彼女は犠牲者に同情を感じた。 ②彼は彼女のアイデアに強く共感している。,Part2,969,
shame,①残念なこと ②恥,名詞,①It's a shame you can't come. ②She felt shame after lying.,①あなたが来られないのは残念だ。 ②嘘をついた後、彼女は恥を感じた。,Part2,970,
confidence,①自信 ②（in ～）（～に対する）信頼,名詞,①She answered with confidence. ②I have confidence in you.,①彼女は自信をもって答えた。 ②あなたへの信頼があります。,Part2,971,
courage,勇気,名詞,It takes courage to speak up.,声を上げるには勇気が必要だ。,Part2,972,
passion,情熱,名詞,He has a passion for cooking.,彼は料理への情熱を持っている。,Part2,973,
sorrow,悲しみ,名詞,She felt great sorrow after the loss.,喪失の後、彼女は大きな悲しみを感じた。,Part2,974,
ignore,（人，物）を無視する,他動詞,He ignored all the warning signs.,彼はすべての警告サインを無視した。,Part2,975,
offend,（人，物が）～を怒らせる，～の気分を害する,他動詞,His rude comment offended everyone.,彼の失礼なコメントがみんなの気分を害した。,Part2,976,
depress,～を憂うつにさせる，落ち込ませる,他動詞,The bad news depressed him for days.,悪いニュースが数日間、彼を憂うつにさせた。,Part2,977,
owe,（A to B)①（A）は（B の）おかげだ ②（A）を（Bに）借りている,他動詞,"①My success owes a lot to my teacher's support. ②I owe you 1,000 yen.","①私の成功は先生のサポートのおかげだ。 ②あなたに1,000円借りている。",Part2,978,
fear,①恐怖 ②～を恐れる ③～を心配する,名詞,①She has a fear of spiders. ②He fears losing his job. ③I fear that it may be too late.,①彼女はクモへの恐怖がある。 ②彼は仕事を失うことを恐れている。 ③遅すぎるかもしれないことを心配している。,Part2,979,
method,方法,名詞,What method do you use to study vocabulary?,どんな方法で語彙を勉強していますか？,Part2,980,
medium,①（情報伝達）手段，媒体，メディア ②中間の,名詞,①TV is a powerful medium. ②He ordered a medium coffee.,①テレビは強力な情報伝達手段だ。 ②彼はMサイズのコーヒーを注文した。,Part2,981,
means,①手段〈単複同形〉 ②（特定な表現で）財産，収入,名詞,①The internet is a means of communication. ②He is a man of great means.,①インターネットはコミュニケーションの手段だ。 ②彼は大きな財産を持つ人だ。,Part2,982,
extent,程度,名詞,To what extent do you agree?,どの程度同意しますか？,Part2,983,
extremely,極度に，非常に,副詞,It was extremely hot yesterday.,昨日は非常に暑かった。,Part2,984,
total,①全体の ②（a ―）まったくの ③合計,形容詞,"①The total cost was 10,000 yen. ②He is a total stranger to me. ③The total is 500.","①総費用は10,000円だった。 ②彼は私にとってまったくの他人だ。 ③合計は500だ。",Part2,985,
largely,①大部分は ②主に,副詞,Her success is largely due to hard work.,彼女の成功は大部分、努力のおかげだ。,Part2,986,
moderate,適度な，節度のある,形容詞,Exercise and a moderate diet keep you healthy.,運動と適度な食事が健康を保つ。,Part2,987,
somewhat,いくぶん,副詞,The result was somewhat disappointing.,結果はいくぶん失望させるものだった。,Part2,988,
subtle,かすかな,形容詞,There is a subtle difference between these two words.,この2つの単語にはかすかな違いがある。,Part2,989,
possibly,①ひょっとすると ②（cannot ―）どうしても（～できない）,副詞,①Could you possibly help me? ②I cannot possibly do this alone.,①ひょっとして私を助けてもらえますか？ ②これをどうしても一人ではできない。,Part2,990,
eventually,最終的に，ついに,副詞,She eventually found a job she loved.,最終的に、彼女は好きな仕事を見つけた。,Part2,991,
necessarily,（not ―）必ずしも（～ない）,副詞,Being famous doesn't necessarily mean being happy.,有名であることは必ずしも幸せを意味しない。,Part2,992,
frankly,率直に,副詞,"Frankly, I don't think the plan will work.",率直に言って、その計画はうまくいかないと思う。,Part2,993,
ironically,皮肉なことに,副詞,"Ironically, the fastest runner finished last.",皮肉なことに、最も速い走者が最後にゴールした。,Part2,994,
moreover,その上,副詞,"She is smart. Moreover, she works very hard.",彼女は賢い。その上、とても一生懸命働く。,Part2,995,
otherwise,①さもなければ ②ほかの点では ③ほかの方法で,副詞,"Hurry up, otherwise we'll miss the train.",急がないと電車に乗り遅れる。,Part2,996,
regardless,（of ～）（～とは）無関係に,副詞,She went out regardless of the bad weather.,悪天候とは無関係に彼女は外出した。,Part2,997,
worth,①～の価値がある ②（― doing）（～する）価値がある ③価値，（～）相当,前置詞,"①This book is worth reading. ②The ring is worth 50,000 yen. ③What is the worth of this painting?","①この本は読む価値がある。 ②その指輪は50,000円の価値がある。 ③この絵の価値はいくらですか？",Part2,998,
according to,①（調査，人の話など）によれば ②（能力など）に応じて,前置詞,"①According to the news, it will rain tomorrow. ②Grades are given according to effort.",①ニュースによれば、明日雨が降るだろう。 ②成績は努力に応じて与えられる。,Part2,999,
despite,～にもかかわらず,前置詞,She passed the exam despite being nervous.,緊張していたにもかかわらず、彼女は試験に合格した。,Part2,1000,
propose,①～を提案する ②（to ～）（～に）結婚を申し込む,他動詞,①She proposed a new plan. ②He proposed to her on their anniversary.,①彼女は新しい計画を提案した。 ②彼は記念日に彼女に結婚を申し込んだ。,Part3,1001,
dismiss,①（意見や考えなど）を退ける ②～を解雇する,他動詞,①She dismissed his idea as foolish. ②He was dismissed for being late.,①彼女は彼のアイデアをばかげていると退けた。 ②彼は遅刻を理由に解雇された。,Part3,1002,
bless,～を祝福する,他動詞,May God bless you.,神様があなたを祝福しますように。,Part3,1003,
glory,栄光,名詞,She won glory for her country at the Olympics.,彼女はオリンピックで国に栄光をもたらした。,Part3,1004,
compliment,①褒め言葉，賛辞 ②～を褒める,名詞,①He gave her a compliment on her dress. ②She complimented him on his cooking.,①彼は彼女のドレスを褒めた。 ②彼女は彼の料理を褒めた。,Part3,1005,
feast,①宴会，祝宴 ②とても楽しいこと，喜ばせるもの,名詞,①The wedding feast lasted all night. ②Watching the sunrise was a real feast.,①結婚の宴会は一晩中続いた。 ②日の出を見るのは本当にとても楽しいことだった。,Part3,1006,
declare,①～を宣言する ②（税関や税務署で）～を申告する,他動詞,①The president declared a national emergency. ②Do you have anything to declare?,①大統領は国家緊急事態を宣言した。 ②申告するものはありますか？,Part3,1007,
highlight,①～を強調する ②呼び物，目玉商品，ハイライト,他動詞,①She highlighted the key points in yellow. ②The highlight of the trip was the waterfall.,①彼女は重要な点を黄色で強調した。 ②旅行の呼び物は滝だった。,Part3,1008,
imply,～をほのめかす，（暗に）～を意味する,他動詞,Are you implying that I am wrong?,私が間違っているとほのめかしていますか？,Part3,1009,
recite,～を暗唱する,他動詞,She recited the poem from memory.,彼女は詩を記憶から暗唱した。,Part3,1010,
ray,①光線 ②放射線 ③（a ― of）一縷の，わずかな,名詞,①A ray of sunlight came through the window. ②Radiation rays can be harmful. ③There is a ray of hope.,①窓から日光の光線が入ってきた。 ②放射線は有害なことがある。 ③一縷の希望がある。,Part3,1011,
radiation,放射線,名詞,Too much radiation is dangerous.,放射線が多すぎると危険だ。,Part3,1012,
laboratory,研究室，研究所,名詞,The new drug was tested in a laboratory.,新薬が研究所でテストされた。,Part3,1013,
oxygen,酸素,名詞,Plants produce oxygen.,植物は酸素を生産する。,Part3,1014,
molecule,分子,名詞,Water molecules consist of hydrogen and oxygen.,水の分子は水素と酸素で構成されている。,Part3,1015,
compound,①化合物 ②複合的な,名詞,①Salt is a chemical compound. ②It is a compound word.,①塩は化合物だ。 ②それは複合的な単語だ。,Part3,1016,
tissue,①組織 ②ティッシュペーパー,名詞,①The doctor examined the tissue sample. ②Please pass me a tissue.,①医者が組織のサンプルを調べた。 ②ティッシュペーパーを渡してください。,Part3,1017,
cell,①細胞 ②電池 ③独房 （①②③いずれも〈可算〉),名詞,①Cancer begins in a single cell. ②This battery cell is dead. ③He spent years in a prison cell.,①がんは一つの細胞から始まる。 ②この電池は切れている。 ③彼は何年も独房で過ごした。,Part3,1018,
gene,遺伝子〈可算〉,名詞,Eye color is determined by genes.,目の色は遺伝子によって決まる。,Part3,1019,
substance,①物質 ②本質，根拠 <不可算>,名詞,①What substance is this made of? ②His argument lacks substance.,①これは何の物質でできていますか？ ②彼の議論は根拠が欠けている。,Part3,1020,
solid,①固体の ②ぎっしり詰まった ③固体,形容詞,①Water becomes solid when it freezes. ②The box is solid wood. ③Diamonds are hard solids.,①水は凍ると固体になる。 ②その箱はぎっしり詰まった木でできている。 ③ダイヤモンドは硬い固体だ。,Part3,1021,
satellite,①（月などの）衛星 ②人工衛星,名詞,①The moon is a natural satellite of the Earth. ②Weather satellites track storms.,①月は地球の自然の衛星だ。 ②気象人工衛星が嵐を追跡する。,Part3,1022,
orbit,①軌道 ②（惑星などが）～を周回する,名詞,①The Earth orbits the Sun. ②The spacecraft is in orbit.,①地球は太陽を周回する。 ②宇宙船は軌道にある。,Part3,1023,
launch,①（ロケットなど）を打ち上げる ②（運動，事業など）を始める ③打ち上げ，開始，発売,他動詞,①They launched a rocket into space. ②She launched a new business. ③The rocket launch was a success.,①彼らはロケットを宇宙に打ち上げた。 ②彼女は新しいビジネスを始めた。 ③ロケットの打ち上げは成功だった。,Part3,1024,
attempt,①試み ②（to do）（～しようと）試みる,名詞,①He made an attempt to climb the mountain. ②She attempted to solve the problem.,①彼は山を登る試みをした。 ②彼女は問題を解こうと試みた。,Part3,1025,
capacity,①能力 ②容量，収容力,名詞,①She has the capacity to learn quickly. ②The hall has a capacity of 500 people.,①彼女は素早く学ぶ能力がある。 ②ホールの収容力は500人だ。,Part3,1026,
capable,①（of ～）（～する）力がある ②有能な,形容詞,①Are you capable of doing this alone? ②She is a very capable manager.,①これを一人でできる力がありますか？ ②彼女はとても有能なマネージャーだ。,Part3,1027,
attain,①（人が主語）～を達成する ②（物，人が主語）～に到達する,他動詞,①She attained her goal of becoming a doctor. ②The temperature attained 40 degrees.,①彼女は医者になるという目標を達成した。 ②気温が40度に到達した。,Part3,1028,
desperate,①必死の ②（状況が）絶望的な,形容詞,①She was desperate to find work. ②The situation was desperate.,①彼女は必死で仕事を見つけようとしていた。 ②状況は絶望的だった。,Part3,1029,
dedicate,（A to B）（A）を（B に）捧げる,他動詞,He dedicated his book to his mother.,彼は本を母に捧げた。,Part3,1030,
pain,①苦痛 ②（―s）苦労,名詞,①She felt pain in her back. ②He took great pains to do it right.,①彼女は背中に苦痛を感じた。 ②彼はそれを正しくするために大変苦労した。,Part3,1031,
strain,①（心身の）負担，無理 ②（目や筋肉など）を痛める,名詞,①The long hours put a strain on her health. ②He strained his back lifting boxes.,①長時間労働が彼女の健康に負担をかけた。 ②箱を持ち上げて背中を痛めた。,Part3,1032,
remedy,①治療法，治療薬 ②改善策，対策（①②いずれも〈可算〉）,名詞,①Honey is a good remedy for a sore throat. ②We need a remedy for this problem.,①はちみつはのどの痛みに良い治療薬だ。 ②この問題への対策が必要だ。,Part3,1033,
pharmacy,（調剤）薬局,名詞,Is there a pharmacy near here?,近くに薬局はありますか？,Part3,1034,
physician,①〈米〉医師 ②〈英〉内科医,名詞,He visited a physician for his headache.,彼は頭痛で医師を訪ねた。,Part3,1035,
disorder,（心身の）不調,名詞,She was diagnosed with a sleep disorder.,彼女は睡眠不調と診断された。,Part3,1036,
pregnant,妊娠した,形容詞,She is six months pregnant.,彼女は妊娠6か月だ。,Part3,1037,
clinical,臨床の,形容詞,The drug passed all clinical trials.,その薬はすべての臨床試験に合格した。,Part3,1038,
heal,①～を治す ②治る,他動詞,①The wound healed slowly. ②Music helped heal her sadness.,①傷はゆっくり治った。 ②音楽が彼女の悲しみを治すのを助けた。,Part3,1039,
infect,（人，動物，地域）に感染させる，伝染する,他動詞,One person can infect many others with the flu.,一人が多くの他人にインフルエンザを感染させることがある。,Part3,1040,
ankle,足首,名詞,She sprained her ankle playing soccer.,サッカーをして足首を捻挫した。,Part3,1041,
thumb,親指,名詞,She hurt her thumb while cooking.,料理中に親指を痛めた。,Part3,1042,
forehead,額，おでこ,名詞,He wiped the sweat from his forehead.,彼は額から汗を拭いた。,Part3,1043,
chin,下あご，あごの先端,名詞,He rested his chin on his hand.,彼は手にあごをのせた。,Part3,1044,
chest,①胸（部)②（大きな木の）箱，密閉容器,名詞,①She felt pain in her chest. ②He keeps tools in a wooden chest.,①彼女は胸に痛みを感じた。 ②彼は木の箱に道具をしまっている。,Part3,1045,
breast,（主に女性の）胸，乳房,名詞,Breast cancer is common in women.,乳がんは女性に多い。,Part3,1046,
lung,肺〈可算〉,名詞,Smoking damages the lungs.,喫煙は肺を傷つける。,Part3,1047,
organ,①臓器，(動植物の)器官 ②(楽器)オルガン（①②ともに<可算>）,名詞,①The heart is a vital organ. ②She plays the organ at church.,①心臓は重要な臓器だ。 ②彼女は教会でオルガンを弾く。,Part3,1048,
vision,①視力，視野 ②未来像 ③未来を見通す力，先見の明,名詞,①She has excellent vision. ②He has a vision for the future. ③She is a leader with great vision.,①彼女は優れた視力を持っている。 ②彼は未来への未来像を持っている。 ③彼女は先見の明のある指導者だ。,Part3,1049,
skeleton,骸骨，骨格,名詞,The skeleton was found in the cave.,骨格が洞窟で発見された。,Part3,1050,
sensation,①感覚 ②（説明し難い）感情,名詞,①She felt a warm sensation on her skin. ②He had a sensation of falling.,①彼女は肌に温かい感覚を感じた。 ②彼は落ちるような感情を感じた。,Part3,1051,
code,①（服装などの）規定 ②暗号,名詞,①The school has a strict dress code. ②The message was written in code.,①学校には厳格な服装規定がある。 ②そのメッセージは暗号で書かれていた。,Part3,1052,
agenda,議題，協議事項,名詞,What is on the agenda for today?,今日の議題は何ですか？,Part3,1053,
liberty,自由,名詞,Freedom of speech is a basic liberty.,言論の自由は基本的な自由だ。,Part3,1054,
committee,委員会,名詞,The committee will meet next Monday.,委員会は次の月曜日に開く。,Part3,1055,
humanity,①（集合的に）人類 ②（the ―ies）人文科学 ③人間性,名詞,①We must work for the good of all humanity. ②She studies the humanities. ③He showed great humanity.,①すべての人類の善のために働かなければならない。 ②彼女は人文科学を学んでいる。 ③彼は大きな人間性を示した。,Part3,1056,
mankind,（集合的に）人類,名詞,Science has greatly benefited mankind.,科学は人類に大きな恩恵をもたらした。,Part3,1057,
authority,①権威 ②権力 ③（―ies）当局,名詞,①She is an authority on ancient history. ②He abused his authority. ③Contact the local authorities.,①彼女は古代史の権威だ。 ②彼は権力を濫用した。 ③地元の当局に連絡してください。,Part3,1058,
justice,正義,名詞,Everyone deserves justice.,誰もが正義に値する。,Part3,1059,
insurance,保険〈不可算〉,名詞,Do you have health insurance?,健康保険に加入していますか？,Part3,1060,
hardship,（主に経済的）苦難,名詞,Many families faced financial hardship.,多くの家族が経済的苦難に直面した。,Part3,1061,
poverty,貧困〈不可算〉,名詞,Millions of people live in poverty.,何百万もの人々が貧困の中で生活している。,Part3,1062,
chaos,大混乱，混沌〈不可算〉,名詞,The sudden storm caused chaos on the roads.,突然の嵐が道路に大混乱を引き起こした。,Part3,1063,
isolation,孤立，分離，孤独感,名詞,Loneliness and isolation can harm health.,孤独と孤立は健康を害することがある。,Part3,1064,
region,地域,名詞,This region is famous for its wine.,この地域はワインで有名だ。,Part3,1065,
proof,①証拠，証明〈不可算〉 ②（複合語で）～を防ぐ，～に耐える,名詞,①Do you have proof of your identity? ②This jacket is waterproof.,①身分の証拠を持っていますか？ ②このジャケットは防水だ。,Part3,1066,
warranty,保証,名詞,The TV comes with a two-year warranty.,そのテレビは2年間の保証が付いてくる。,Part3,1067,
principle,①原理，原則 ②主義，信念,名詞,①Respect is an important principle. ②She lives by her principles.,①尊重は重要な原則だ。 ②彼女は自分の主義に従って生きている。,Part3,1068,
origin,起源,名詞,No one knows the origin of this word.,誰もこの単語の起源を知らない。,Part3,1069,
setting,①環境，状況 ②（小説，劇，機械などの）設定，舞台（①②ともに<可算>）,名詞,①She grew up in a rural setting. ②The novel has a medieval setting.,①彼女は田舎の環境で育った。 ②その小説は中世の設定だ。,Part3,1070,
mission,①任務，使命 ②使節団 ③（主にキリスト教の）布教（団）,名詞,①His mission was to deliver the package safely. ②A trade mission visited the country. ③She joined a mission to Africa.,①彼の任務は荷物を安全に届けることだった。 ②貿易使節団がその国を訪問した。 ③彼女はアフリカへの布教団に加わった。,Part3,1071,
project,①計画，企画 ②（予算など）を見積もる ③～を投影する,名詞,"①The team completed the project on time. ②We projected the costs at 500,000 yen. ③He projected the image on the wall.",①チームはプロジェクトを時間通りに完成させた。 ②私たちはコストを50万円と見積もった。 ③彼は画像を壁に投影した。,Part3,1072,
monument,記念碑，遺跡，史跡,名詞,We visited the war monument in the park.,私たちは公園の戦争記念碑を訪れた。,Part3,1073,
